X1,X2,X3,X4,X5
17968,2010/12/1,22742,2.95,1
17968,2010/12/1,21329,1.65,1
17968,2010/12/1,21328,1.65,1
17968,2010/12/1,21327,1.65,1
17968,2010/12/1,21992,2.95,1
17968,2010/12/1,21738,2.95,1
17968,2010/12/1,48173C,7.95,1
17968,2010/12/1,85099C,1.95,1
17968,2010/12/1,22960,4.25,1
17968,2010/12/1,85231G,0.85,1
17968,2010/12/1,85231B,0.85,2
17968,2010/12/1,22866,2.1,1
17968,2010/12/1,72818,0.85,1
17968,2010/12/1,21814,1.45,8
17968,2010/12/1,22441,2.1,1
17968,2010/12/1,22312,2.95,1
17968,2010/12/1,22197,0.85,6
17968,2010/12/1,22663,1.95,1
14849,2010/12/1,22960,4.25,6
14849,2010/12/1,22961,1.45,12
15012,2010/12/1,84997D,3.75,1
15012,2010/12/1,47599A,2.1,1
15012,2010/12/1,47599B,2.1,1
15012,2010/12/1,22749,3.75,1
15012,2010/12/1,20972,1.25,1
15012,2010/12/1,22569,3.75,1
15012,2010/12/1,21041,2.95,1
15012,2010/12/1,21664,3.75,2
15012,2010/12/1,84969,4.25,1
15012,2010/12/1,22907,0.85,1
15012,2010/12/1,22865,2.1,2
15012,2010/12/1,22866,2.1,1
15012,2010/12/1,22632,2.1,2
15012,2010/12/1,22776,9.95,1
15012,2010/12/1,22338,0.65,2
15012,2010/12/1,21810,1.25,2
15012,2010/12/1,22449,3.35,1
15012,2010/12/1,21197,1.65,1
15012,2010/12/1,85231G,0.85,1
15012,2010/12/1,21121,1.25,1
15012,2010/12/1,22151,0.42,2
15012,2010/12/1,84836,1.25,2
15012,2010/12/1,21326,0.65,12
15012,2010/12/1,85035B,4.25,1
15012,2010/12/1,84968C,12.75,1
15012,2010/12/1,85231B,0.85,1
15012,2010/12/1,22739,1.65,5
15012,2010/12/1,37370,1.25,2
15012,2010/12/1,22941,8.5,1
15012,2010/12/1,21098,1.25,2
15012,2010/12/1,22151,0.42,1
15012,2010/12/1,84836,1.25,1
15012,2010/12/1,20914,2.95,1
15012,2010/12/1,22749,3.75,2
15012,2010/12/1,21190,1.65,1
15012,2010/12/1,84997C,3.75,1
15012,2010/12/1,21810,1.25,1
15012,2010/12/1,21192,1.65,3
15012,2010/12/1,85014A,5.95,1
15012,2010/12/1,21124,1.25,2
15012,2010/12/1,72800B,2.55,2
15012,2010/12/1,84563A,5.95,1
15012,2010/12/1,22107,3.75,2
15012,2010/12/1,47504H,1.95,1
15012,2010/12/1,21121,1.25,1
15012,2010/12/1,21122,1.25,1
15012,2010/12/1,21742,5.95,1
15012,2010/12/1,22566,0.85,1
15012,2010/12/1,21664,3.75,1
15012,2010/12/1,22632,2.1,1
15012,2010/12/1,21122,1.25,1
15012,2010/12/1,22481,1.25,3
15012,2010/12/1,85099B,1.95,1
15012,2010/12/1,21931,1.95,1
14001,2010/12/1,21135,1.69,16
14001,2010/12/1,22173,2.95,16
14001,2010/12/1,22626,8.5,2
14001,2010/12/1,22625,8.5,6
14001,2010/12/1,22624,8.5,6
14001,2010/12/1,21929,1.95,20
14001,2010/12/1,85099B,1.95,10
14001,2010/12/1,22411,1.95,10
14001,2010/12/1,22113,3.75,8
16955,2010/12/1,20754,2.1,6
16955,2010/12/1,22740,0.85,48
16955,2010/12/1,22825,7.95,2
16955,2010/12/1,22680,1.25,20
16955,2010/12/1,22797,16.95,3
16955,2010/12/1,21843,10.95,1
15165,2010/12/1,22969,1.45,12
15165,2010/12/1,72741,1.45,18
15165,2010/12/1,37495,3.75,4
15165,2010/12/1,22807,2.95,6
15165,2010/12/1,22171,8.5,2
15165,2010/12/1,82486,7.95,2
15165,2010/12/1,22173,2.95,8
15165,2010/12/1,85067,18.95,1
15165,2010/12/1,48184,7.95,2
15165,2010/12/1,48138,7.95,2
15165,2010/12/1,48129,7.95,2
15165,2010/12/1,21625,6.95,3
15165,2010/12/1,22326,2.95,6
15165,2010/12/1,22423,12.75,2
15165,2010/12/1,21743,2.95,6
15165,2010/12/1,22557,1.65,12
15165,2010/12/1,22554,1.65,12
15165,2010/12/1,85019A,4.25,4
15165,2010/12/1,85019C,4.25,3
15165,2010/12/1,20902,6.35,2
15165,2010/12/1,21429,1.65,8
15165,2010/12/1,22867,2.1,12
15165,2010/12/1,22632,2.1,12
15165,2010/12/1,84030E,4.25,4
15165,2010/12/1,22114,3.95,4
15165,2010/12/1,21481,2.95,6
15165,2010/12/1,22379,2.1,5
12921,2010/12/1,22318,2.95,6
12921,2010/12/1,22551,1.65,12
12921,2010/12/1,22748,2.1,6
12921,2010/12/1,22745,2.1,6
12921,2010/12/1,21731,1.65,12
12921,2010/12/1,22466,1.95,12
12921,2010/12/1,20972,1.25,12
12921,2010/12/1,22274,2.95,6
12921,2010/12/1,22750,3.75,4
12921,2010/12/1,22780,4.25,8
12921,2010/12/1,22779,4.25,8
12921,2010/12/1,22866,2.1,12
12921,2010/12/1,22867,2.1,12
12921,2010/12/1,22865,2.1,12
12921,2010/12/1,22632,2.1,12
16539,2010/12/1,22589,2.55,6
16539,2010/12/1,22121,5.95,3
16539,2010/12/1,22119,6.95,3
16539,2010/12/1,22573,0.85,24
16539,2010/12/1,22574,0.85,24
16539,2010/12/1,22577,0.85,24
16539,2010/12/1,22578,0.85,24
16539,2010/12/1,22579,0.85,24
16539,2010/12/1,22593,0.85,24
16539,2010/12/1,22594,0.85,24
16539,2010/12/1,22595,0.85,24
16539,2010/12/1,21810,1.25,12
16539,2010/12/1,21811,1.25,12
16539,2010/12/1,21817,0.85,12
16539,2010/12/1,22695,1.45,12
16539,2010/12/1,22696,1.95,6
16539,2010/12/1,21523,6.75,10
16539,2010/12/1,22469,1.65,12
16539,2010/12/1,22855,1.25,12
16539,2010/12/1,21754,5.95,6
16539,2010/12/1,21756,5.95,3
14142,2010/12/1,37448,1.49,12
14142,2010/12/1,22744,2.95,6
14142,2010/12/1,22743,2.95,6
14142,2010/12/1,22646,1.45,12
14142,2010/12/1,21232,1.25,12
14142,2010/12/1,22466,1.95,12
14142,2010/12/1,22540,0.42,24
14142,2010/12/1,22531,0.42,24
14142,2010/12/1,16237,0.21,30
14142,2010/12/1,22752,8.5,2
14142,2010/12/1,22114,3.95,4
14142,2010/12/1,21108,2.55,9
14142,2010/12/1,22355,0.85,10
14142,2010/12/1,22449,3.35,6
14142,2010/12/1,22867,2.1,12
14142,2010/12/1,21986,0.29,24
14142,2010/12/1,21982,0.29,24
14142,2010/12/1,22421,0.42,12
14142,2010/12/1,17003,0.21,36
14142,2010/12/1,21098,1.25,12
14142,2010/12/1,22548,1.25,12
14142,2010/12/1,21790,0.85,12
14741,2010/12/2,84832,0.85,12
14741,2010/12/2,85231B,0.85,12
14741,2010/12/2,22189,3.95,12
14741,2010/12/2,22457,2.95,6
14741,2010/12/2,22863,2.95,6
14741,2010/12/2,22792,0.85,12
14741,2010/12/2,84970S,0.85,12
14741,2010/12/2,72741,1.45,18
14741,2010/12/2,22961,1.45,24
13715,2010/12/2,21364,6.75,2
13715,2010/12/2,22219,0.85,12
13715,2010/12/2,20966,1.25,10
13715,2010/12/2,22107,3.75,8
13715,2010/12/2,22109,3.75,8
13715,2010/12/2,21181,2.1,12
13715,2010/12/2,21042,5.95,3
13715,2010/12/2,47567B,5.95,3
13715,2010/12/2,22111,4.95,3
13715,2010/12/2,22271,2.95,6
13715,2010/12/2,22272,2.95,6
13715,2010/12/2,22273,2.95,6
13715,2010/12/2,22274,2.95,6
13715,2010/12/2,20963,1.25,10
13715,2010/12/2,21172,1.45,12
17732,2010/12/2,72760B,9.95,2
17732,2010/12/2,22602,0.85,12
17732,2010/12/2,21754,5.95,3
17732,2010/12/2,21756,5.95,3
17732,2010/12/2,21481,2.95,6
17732,2010/12/2,22114,3.95,4
17732,2010/12/2,22386,1.95,10
17732,2010/12/2,85099B,1.95,10
17732,2010/12/2,22365,7.95,2
17732,2010/12/2,21955,7.95,2
17732,2010/12/2,21733,2.95,6
17732,2010/12/2,84879,1.69,8
17732,2010/12/2,22423,12.75,1
17732,2010/12/2,22624,8.5,2
17732,2010/12/2,22507,4.95,4
17732,2010/12/2,22457,2.95,6
17732,2010/12/2,22804,2.95,6
17732,2010/12/2,85123A,2.95,6
15601,2010/12/2,21355,1.25,24
15601,2010/12/2,21756,5.95,6
15601,2010/12/2,21518,0.42,12
15601,2010/12/2,21520,0.42,12
15601,2010/12/2,21506,0.42,12
15601,2010/12/2,22023,0.42,12
15601,2010/12/2,21519,0.42,12
15601,2010/12/2,22037,0.42,12
15601,2010/12/2,22029,0.42,12
15601,2010/12/2,22030,0.42,12
15601,2010/12/2,22027,0.42,12
15601,2010/12/2,22983,0.42,24
15601,2010/12/2,22718,0.42,24
15601,2010/12/2,22717,0.42,12
15601,2010/12/2,22712,0.42,24
15601,2010/12/2,22028,0.42,12
15601,2010/12/2,22815,0.42,24
15601,2010/12/2,72818,0.85,24
15601,2010/12/2,22697,2.95,12
15601,2010/12/2,21670,1.25,12
15601,2010/12/2,21669,1.25,12
15601,2010/12/2,21671,1.25,12
15601,2010/12/2,21673,1.25,12
15601,2010/12/2,21672,1.25,12
15601,2010/12/2,22771,1.25,12
15601,2010/12/2,22775,1.25,12
15601,2010/12/2,22772,1.25,12
15601,2010/12/2,22774,1.25,12
15601,2010/12/2,48185,7.95,4
15601,2010/12/2,48187,7.95,4
15601,2010/12/2,82494L,2.95,12
15601,2010/12/2,22245,0.85,24
15601,2010/12/2,84755,0.65,32
15601,2010/12/2,22460,1.25,24
15601,2010/12/2,84970L,0.95,24
15601,2010/12/2,22432,1.95,6
15601,2010/12/2,22433,1.95,6
15601,2010/12/2,22431,1.95,6
15601,2010/12/2,84674,2.95,6
15601,2010/12/2,82486,7.95,4
15601,2010/12/2,82483,5.95,4
15601,2010/12/2,21068,1.25,12
15601,2010/12/2,21069,1.25,12
15601,2010/12/2,21070,1.25,12
15601,2010/12/2,22972,1.65,12
15601,2010/12/2,22974,1.65,12
15601,2010/12/2,22419,0.42,36
15601,2010/12/2,21071,1.25,12
15658,2010/12/2,22927,5.95,2
15658,2010/12/2,22928,5.95,2
15658,2010/12/2,22926,5.95,2
15658,2010/12/2,22776,9.95,2
15658,2010/12/2,22778,3.95,4
15658,2010/12/2,22777,8.5,2
15658,2010/12/2,22783,19.95,1
15658,2010/12/2,22941,8.5,2
15658,2010/12/2,21756,5.95,3
15658,2010/12/2,22961,1.45,12
15658,2010/12/2,22423,12.75,4
15658,2010/12/2,22697,2.95,12
15658,2010/12/2,22699,2.95,12
15658,2010/12/2,21755,5.95,4
16244,2010/12/2,20992,0.85,12
16244,2010/12/2,51014A,0.85,12
16244,2010/12/2,22113,3.75,4
16244,2010/12/2,22111,4.95,3
16244,2010/12/2,84032B,2.95,6
16244,2010/12/2,84031B,4.65,3
16244,2010/12/2,84031A,4.65,3
16244,2010/12/2,21430,3.75,4
16244,2010/12/2,21429,1.65,8
16244,2010/12/2,21313,0.85,12
16244,2010/12/2,21108,2.55,9
16244,2010/12/2,47599B,2.1,6
16244,2010/12/2,47566B,4.65,5
16244,2010/12/2,22499,5.95,3
16244,2010/12/2,22090,2.95,6
16244,2010/12/2,22071,3.75,6
16244,2010/12/2,22070,3.75,6
16244,2010/12/2,21216,4.95,4
16244,2010/12/2,22637,2.55,6
16244,2010/12/2,20983,0.85,12
16244,2010/12/2,20975,0.65,24
16244,2010/12/2,20750,7.95,2
16244,2010/12/2,21041,2.95,6
16244,2010/12/2,21537,4.25,4
16244,2010/12/2,21533,4.95,3
16244,2010/12/2,21527,7.95,2
16244,2010/12/2,21538,3.75,4
16244,2010/12/2,85216,0.65,12
16244,2010/12/2,84992,0.55,24
16244,2010/12/2,84991,0.55,24
16244,2010/12/2,22352,2.55,6
16244,2010/12/2,84509A,3.75,4
16244,2010/12/2,84510A,1.25,10
16244,2010/12/2,22131,1.95,6
16244,2010/12/2,21163,1.45,12
16244,2010/12/2,21158,1.45,12
16244,2010/12/2,21161,1.45,12
16244,2010/12/2,21159,1.45,12
16244,2010/12/2,84970L,0.95,12
16244,2010/12/2,72741,1.45,18
16244,2010/12/2,22502,5.95,4
16244,2010/12/2,22469,1.65,12
16244,2010/12/2,22212,2.1,6
16244,2010/12/2,84406B,3.25,8
16244,2010/12/2,22188,3.95,4
16244,2010/12/2,84971S,0.85,24
16244,2010/12/2,21390,1.25,24
16244,2010/12/2,84836,1.25,12
16244,2010/12/2,22297,1.25,24
16244,2010/12/2,22335,0.65,24
16244,2010/12/2,22285,1.65,12
16244,2010/12/2,22284,1.65,12
16244,2010/12/2,21383,0.65,12
16244,2010/12/2,21381,1.69,12
16244,2010/12/2,21380,2.95,6
16244,2010/12/2,47590B,5.45,3
16244,2010/12/2,47590A,5.45,3
16244,2010/12/2,22210,1.65,12
16244,2010/12/2,22209,1.65,12
16244,2010/12/2,22208,1.65,12
16244,2010/12/2,22318,2.95,6
16244,2010/12/2,20974,0.65,24
16244,2010/12/2,20982,0.85,12
14390,2010/12/2,85136A,7.95,1
14390,2010/12/2,85099B,1.95,2
14390,2010/12/2,22385,1.95,4
14390,2010/12/2,21870,1.25,1
14390,2010/12/2,20723,0.85,1
14390,2010/12/2,20967,3.75,2
14390,2010/12/2,20969,3.75,2
14390,2010/12/2,20970,3.75,1
14390,2010/12/2,85099B,1.95,3
14390,2010/12/2,22418,0.85,2
14390,2010/12/2,22374,4.25,2
14390,2010/12/2,22372,4.25,2
14390,2010/12/2,22375,4.25,2
14390,2010/12/2,22371,4.25,1
14390,2010/12/2,22634,9.95,2
14390,2010/12/2,22663,1.95,2
14390,2010/12/2,22662,1.65,2
14390,2010/12/2,22650,1.45,4
14390,2010/12/2,22578,0.85,5
14390,2010/12/2,22579,0.85,6
14390,2010/12/2,21479,3.75,2
14390,2010/12/2,22112,4.95,6
14390,2010/12/2,22110,2.55,4
14390,2010/12/2,84997B,3.75,3
14390,2010/12/2,84997A,3.75,3
14390,2010/12/2,84997C,3.75,2
14390,2010/12/2,84997D,3.75,7
16546,2010/12/2,22867,2.1,24
16546,2010/12/2,22633,2.1,24
16546,2010/12/2,22632,2.1,24
16546,2010/12/2,22910,2.55,40
16546,2010/12/2,22737,1.65,20
16546,2010/12/2,22952,0.55,24
16752,2010/12/2,84846A,2.1,6
16752,2010/12/2,22442,7.95,2
16752,2010/12/2,22759,1.65,12
16752,2010/12/2,22168,8.5,2
16752,2010/12/2,22797,16.95,1
16752,2010/12/2,22595,0.85,12
16752,2010/12/2,21563,2.95,6
16752,2010/12/2,22969,1.45,12
16752,2010/12/2,21769,79.95,1
15738,2010/12/2,21206,1.65,12
15738,2010/12/2,20974,0.65,24
15738,2010/12/2,22333,1.65,16
15738,2010/12/2,21094,0.85,60
15738,2010/12/2,21080,0.85,24
15738,2010/12/2,21086,0.65,36
15738,2010/12/2,20914,2.95,6
15738,2010/12/2,20975,0.65,24
15738,2010/12/2,20677,1.25,8
15738,2010/12/2,47590B,5.45,9
15738,2010/12/2,47599A,2.1,12
15738,2010/12/2,22083,2.95,6
15738,2010/12/2,47599B,2.1,6
15738,2010/12/2,84375,2.1,12
16510,2010/12/2,22768,9.95,2
16510,2010/12/2,22795,6.75,4
16510,2010/12/2,22914,4.95,3
16510,2010/12/2,22969,1.45,12
16510,2010/12/2,21259,5.95,2
16510,2010/12/2,21258,12.75,1
16510,2010/12/2,84947,1.25,12
16510,2010/12/2,84946,1.25,24
16510,2010/12/2,22169,8.5,2
16510,2010/12/2,22767,9.95,2
16510,2010/12/2,21587,2.55,12
16510,2010/12/2,22082,1.65,10
16510,2010/12/2,22604,2.55,6
15107,2010/12/2,84945,0.85,12
15107,2010/12/2,22191,8.5,6
15107,2010/12/2,72760B,9.95,2
15107,2010/12/2,22634,9.95,2
15107,2010/12/2,22426,3.75,4
17976,2010/12/2,84029G,3.75,1
17976,2010/12/2,20975,0.65,1
17976,2010/12/2,84029E,3.75,1
17976,2010/12/2,22190,2.1,1
17976,2010/12/2,90082D,6.35,4
17976,2010/12/2,90082A,6.35,5
17976,2010/12/2,90082B,6.35,5
17976,2010/12/2,90081A,4.95,1
17976,2010/12/2,90204,3.35,1
17976,2010/12/2,90185B,4.25,1
17976,2010/12/2,90185C,4.25,1
17976,2010/12/2,90195A,8.95,1
17976,2010/12/2,90195B,8.95,1
17976,2010/12/2,90196A,12.75,1
17976,2010/12/2,90199A,6.35,2
17976,2010/12/2,90177C,2.95,1
17976,2010/12/2,90186A,2.95,1
17976,2010/12/2,22379,2.1,1
17976,2010/12/2,20894,2.95,3
17976,2010/12/2,85106,2.55,2
17976,2010/12/2,35271S,0.19,5
17976,2010/12/2,22480,1.25,4
17976,2010/12/2,21415,2.1,2
17976,2010/12/2,20679,5.95,2
17976,2010/12/2,21034,0.95,3
17976,2010/12/2,85106,2.55,2
17976,2010/12/2,21415,2.1,2
17976,2010/12/2,22752,8.5,1
17976,2010/12/2,22441,2.1,1
17976,2010/12/2,21710,4.95,1
17976,2010/12/2,22174,1.65,2
17976,2010/12/2,21212,0.55,2
17976,2010/12/2,22943,4.95,1
17976,2010/12/2,21416,3.75,1
17976,2010/12/2,22750,3.75,1
17976,2010/12/2,21417,2.1,1
17976,2010/12/2,22371,4.25,1
17976,2010/12/2,22174,1.65,2
17976,2010/12/2,22343,0.85,6
17976,2010/12/2,22474,4.95,1
17976,2010/12/2,20969,3.75,1
17976,2010/12/2,22371,4.25,2
17976,2010/12/2,22472,4.95,1
17976,2010/12/2,15056N,5.95,1
17976,2010/12/2,21154,1.25,1
17976,2010/12/2,84347,2.55,1
17976,2010/12/2,22441,2.1,1
17976,2010/12/2,18097A,2.55,1
17976,2010/12/2,18097C,2.55,1
17976,2010/12/2,22472,4.95,1
17976,2010/12/2,22866,2.1,1
17976,2010/12/2,21415,2.1,2
17976,2010/12/2,22867,2.1,1
17976,2010/12/2,22633,2.1,2
17976,2010/12/2,22667,2.95,1
17976,2010/12/2,20914,2.95,1
17976,2010/12/2,21429,1.65,2
17976,2010/12/2,84879,1.69,1
17976,2010/12/2,85123A,2.95,1
17976,2010/12/2,22900,2.95,1
17976,2010/12/2,22174,1.65,2
17976,2010/12/2,22664,2.1,1
17976,2010/12/2,22371,4.25,1
17976,2010/12/2,20967,3.75,1
17976,2010/12/2,22569,3.75,1
14449,2010/12/2,22988,1.25,2
14449,2010/12/2,22975,1.25,2
14449,2010/12/2,22976,1.25,2
14449,2010/12/2,22977,1.25,2
14449,2010/12/2,21137,3.75,1
14449,2010/12/2,22470,2.95,4
14449,2010/12/2,84754,1.25,1
